Date,Price,Inventory
2021/11/4,19590,138096
2021/11/3,19780,139878
2021/11/2,19825,140904
2021/11/1,19650,142440
2021/10/29,19480,143022
2021/10/28,19825,143334
2021/10/27,19850,142662
2021/10/26,20495,141252
2021/10/25,20135,141984
2021/10/22,20355,142446
2021/10/21,20530,142788
2021/10/20,20035,143502
2021/10/19,20450,143856
2021/10/18,20215,144588
2021/10/15,19860,146022
2021/10/14,19290,146292
2021/10/13,19235,147060
2021/10/12,19375,147780
2021/10/11,19420,148878
2021/10/8,18870,149412
2021/10/7,18240,151728
2021/10/6,18095,153180
2021/10/5,17800,154440
2021/10/4,18140,155244
2021/10/1,18125,156234
2021/9/30,18180,157062
2021/9/29,18625,158274
2021/9/28,18620,160230
2021/9/27,18910,162690
2021/9/24,19180,164034
2021/9/23,19235,164610
2021/9/22,19080,165882
2021/9/21,18910,166788
2021/9/20,19080,
2021/9/17,20060,171714
2021/9/16,19530,173298
2021/9/15,19850,174282
2021/9/14,19640,175608
2021/9/13,19930,177078
2021/9/10,20375,179394
2021/9/9,20240,181368
2021/9/8,19725,183678
2021/9/7,19555,185160
2021/9/6,19640,187602
2021/9/3,19494,188676
2021/9/2,19365,190488
2021/9/1,19541,192456
2021/8/31,19513,194466
2021/8/27,18914,195252
2021/8/26,18868,196290
2021/8/25,19225,197076
2021/8/24,19065,195558
2021/8/23,18895,197298
2021/8/20,18569,198114
2021/8/19,18476,198486
2021/8/18,19019,199110
2021/8/17,19470,200382
2021/8/16,19505,202210
2021/8/13,19650,202896
2021/8/12,19540,204012
2021/8/11,18885,205452
2021/8/10,18718,205632
2021/8/9,18748,207636
2021/8/6,19533,208590
2021/8/5,19279,209898
2021/8/4,19448,210192
2021/8/3,19324,211068
2021/8/2,19725,213120
2021/7/30,19892,214632
2021/7/29,19769,215412
2021/7/28,19583,215820
2021/7/27,19368,217878
2021/7/26,19482,219180
2021/7/23,19267,219444
2021/7/22,18870,219516
2021/7/21,18382,220074
2021/7/20,18570,220128
2021/7/19,18866,221892
2021/7/16,18895,223248
2021/7/15,18695,223872
2021/7/14,18689,225312
2021/7/13,18785,226230
2021/7/12,18566,226962
2021/7/9,18673,228612
2021/7/8,18180,229980
2021/7/7,18309,231312
2021/7/6,18541,232554
2021/7/5,18370,232566
2021/7/2,18141,231378
2021/7/1,18082,231498
2021/6/30,18450,232476
2021/6/29,18213,233814
2021/6/28,18358,234186
2021/6/25,18611,234576
2021/6/24,18192,234900
2021/6/23,17867,235818
2021/6/22,17701,237414
2021/6/21,17310,237678
2021/6/18,17320,238410
2021/6/17,17287,238602
2021/6/16,17483,239838
2021/6/15,17909,240492
2021/6/14,18276,240222
2021/6/11,18303,240732
2021/6/10,17783,240570
2021/6/9,18088,241260
2021/6/8,17828,241392
2021/6/7,17625,242004
2021/6/4,17922,242568
2021/6/3,17945,243162
2021/6/2,18133,243630
2021/6/1,18147,246444
2021/5/28,17811,247494
